File generated by logrpl_parser.py 
Original file name: scenario2-storing(5s).txt
Number of motes: 25
-------------------------------------------------------------------------------
convergence_time_start:  0.805 (s)		0.0134166666667 (min)
convergence_time_end:    30.717 (s)		0.0134166666667 (min)
convergence_time:        29.912 (s)		0.498533333333 (min)
-------------------------------------------------------------------------------

node_id | Number_of_neighbours | Number_of_routes | Number_of_table_entries | nºDIO | nºDAO | nºDIS | Total DDD messages
1							11					24						 35		2		0		0			2
2							14					4						 18		4		1		0			5
3							13					0						 13		3		1		0			4
4							10					0						 10		9		5		0			14
5							10					0						 10		4		1		0			5
6							11					0						 11		8		1		0			9
7							12					0						 12		5		5		0			10
8							12					1						 13		6		6		0			12
9							8					0						 8		2		4		0			6
10							10					0						 10		3		2		0			5
11							16					3						 19		5		2		0			7
12							11					0						 11		5		7		0			12
13							9					0						 9		3		1		0			4
14							10					0						 10		4		2		0			6
15							16					10						 26		6		1		0			7
16							13					0						 13		8		1		0			9
17							10					0						 10		5		3		0			8
18							6					0						 6		8		5		0			13
19							14					1						 15		4		2		0			6
20							13					0						 13		5		1		0			6
21							13					1						 14		3		1		0			4
22							11					0						 11		5		9		0			14
23							9					0						 9		4		2		0			6
24							16					1						 17		6		2		0			8
25							8					0						 8		3		1		0			4
------------------------------------------------------------------------------------------------------------------------------
Average:					11.44				1.8						13.24	4.8		2.64	0.0			7.44
