File generated by logrpl_parser.py 
Original file name: scenario1-storing(5s).txt
Number of motes: 25
-------------------------------------------------------------------------------
convergence_time_start:  0.709 (s)		0.0118166666667 (min)
convergence_time_end:    26.816 (s)		0.0118166666667 (min)
convergence_time:        26.107 (s)		0.435116666667 (min)
-------------------------------------------------------------------------------

node_id | Number_of_neighbours | Number_of_routes | Number_of_table_entries | nºDIO | nºDAO | nºDIS | Total DDD messages
1							15					24						 39		2		0		0			2
2							16					0						 16		4		1		0			5
3							6					0						 6		4		1		0			5
4							15					0						 15		5		1		0			6
5							8					0						 8		4		2		0			6
6							13					5						 18		3		1		0			4
7							8					0						 8		3		1		0			4
8							3					0						 3		3		1		0			4
9							6					0						 6		6		1		0			7
10							13					0						 13		5		1		0			6
11							7					0						 7		5		1		0			6
12							14					4						 18		4		1		0			5
13							12					0						 12		3		1		0			4
14							8					0						 8		3		1		0			4
15							5					0						 5		3		1		0			4
16							12					0						 12		2		1		0			3
17							13					0						 13		4		1		0			5
18							7					0						 7		4		2		0			6
19							12					0						 12		3		1		0			4
20							9					0						 9		3		2		0			5
21							11					0						 11		5		4		0			9
22							6					0						 6		3		1		0			4
23							8					0						 8		3		1		0			4
24							13					0						 13		4		1		0			5
25							8					0						 8		5		1		0			6
------------------------------------------------------------------------------------------------------------------------------
Average:					9.92				1.32					11.24	3.72	1.2		0.0			4.92
