File generated by logrpl_parser.py 
Original file name: scenario2-nonstoring(5s).txt
Number of motes: 25
-------------------------------------------------------------------------------
convergence_time_start:  0.802 (s)		0.0133666666667 (min)
convergence_time_end:    51.078 (s)		0.0133666666667 (min)
convergence_time:        50.276 (s)		0.837933333333 (min)
-------------------------------------------------------------------------------

node_id | Number_of_neighbours | Number_of_routes | Number_of_table_entries | nºDIO | nºDAO | nºDIS | Total DDD messages
1							11					24						 35		4		0		0			4
2							14					0						 14		11		1		0			12
3							13					0						 13		11		3		0			14
4							7					0						 7		12		2		1			15
5							11					0						 11		9		1		0			10
6							12					0						 12		15		2		0			17
7							10					0						 10		10		2		0			12
8							12					0						 12		13		2		0			15
9							0					0						 0		0		0		0			0
10							11					0						 11		7		1		0			8
11							17					0						 17		8		1		0			9
12							9					0						 9		11		2		0			13
13							10					0						 10		7		1		0			8
14							10					0						 10		6		1		0			7
15							16					0						 16		13		5		0			18
16							14					0						 14		7		1		0			8
17							7					0						 7		6		1		1			8
18							6					0						 6		11		3		0			14
19							14					0						 14		15		6		0			21
20							11					0						 11		20		2		0			22
21							10					0						 10		16		1		0			17
22							9					0						 9		11		2		1			14
23							10					0						 10		6		1		0			7
24							17					0						 17		11		3		0			14
25							9					0						 9		7		1		0			8
------------------------------------------------------------------------------------------------------------------------------
Average:					10.52				0.96					11.48	9.64	1.76	0.08		11.48
