File generated by hopscount_parser.py 
Original file name: scenario2-storing.txt
Number of motes: 25


Mote[1] | Dest_Mote_ID | Hops
		| 			10 | 	1
		| 			11 | 	3
		| 			12 | 	4
		| 			13 | 	1
		| 			14 | 	1
		| 			15 | 	2
		| 			16 | 	2
		| 			17 | 	4
		| 			18 | 	3
		| 			19 | 	2
		| 			2 | 	1
		| 			20 | 	-
		| 			21 | 	4
		| 			22 | 	4
		| 			23 | 	-
		| 			24 | 	2
		| 			25 | 	2
		| 			3 | 	1
		| 			4 | 	4
		| 			5 | 	1
		| 			6 | 	2
		| 			7 | 	2
		| 			8 | 	3
		| 			9 | 	3
Hops Avg to all motes: 2.36363636364


Mote[2] | Dest_Mote_ID | Hops
		| 			1 | 	1
		| 			10 | 	2
		| 			11 | 	1
		| 			12 | 	4
		| 			13 | 	3
		| 			14 | 	3
		| 			15 | 	1
		| 			16 | 	1
		| 			17 | 	2
		| 			18 | 	3
		| 			19 | 	1
		| 			20 | 	1
		| 			21 | 	3
		| 			22 | 	3
		| 			23 | 	2
		| 			24 | 	2
		| 			25 | 	4
		| 			3 | 	2
		| 			4 | 	6
		| 			5 | 	2
		| 			6 | 	3
		| 			7 | 	5
		| 			8 | 	1
		| 			9 | 	3
Hops Avg to all motes: 2.45833333333


Mote[3] | Dest_Mote_ID | Hops
		| 			1 | 	1
		| 			10 | 	2
		| 			11 | 	4
		| 			12 | 	3
		| 			13 | 	1
		| 			14 | 	2
		| 			15 | 	4
		| 			16 | 	1
		| 			17 | 	6
		| 			18 | 	3
		| 			19 | 	1
		| 			2 | 	2
		| 			20 | 	2
		| 			21 | 	4
		| 			22 | 	2
		| 			23 | 	1
		| 			24 | 	3
		| 			25 | 	2
		| 			4 | 	3
		| 			5 | 	2
		| 			6 | 	3
		| 			7 | 	4
		| 			8 | 	3
		| 			9 | 	3
Hops Avg to all motes: 2.58333333333


Mote[4] | Dest_Mote_ID | Hops
		| 			1 | 	4
		| 			10 | 	2
		| 			11 | 	1
		| 			12 | 	3
		| 			13 | 	3
		| 			14 | 	4
		| 			15 | 	3
		| 			16 | 	4
		| 			17 | 	2
		| 			18 | 	3
		| 			19 | 	3
		| 			2 | 	6
		| 			20 | 	2
		| 			21 | 	1
		| 			22 | 	1
		| 			23 | 	2
		| 			24 | 	3
		| 			25 | 	6
		| 			3 | 	3
		| 			5 | 	5
		| 			6 | 	2
		| 			7 | 	1
		| 			8 | 	2
		| 			9 | 	2
Hops Avg to all motes: 2.83333333333


Mote[5] | Dest_Mote_ID | Hops
		| 			1 | 	1
		| 			10 | 	2
		| 			11 | 	3
		| 			12 | 	5
		| 			13 | 	2
		| 			14 | 	2
		| 			15 | 	3
		| 			16 | 	1
